Designator,Mid X,Mid Y,Layer,Rotation
D1,42.57,-37.795,Top,90
D2,49.149,41.148,Top,270
J1,-57.988,51.003,Top,90
J2,-54.0,61.468,Top,0
J3,-57.988,-2.007,Top,90
J4,-54.0,8.484,Top,0
J5,-57.988,-54.991,Top,90
J6,-54.0,-44.526,Top,0
J7,-57.988,37.008,Top,270
J8,-54.0,26.467,Top,0
J9,-57.988,-16.002,Top,270
J10,-54.0,-26.518,Top,0
J11,-57.988,-69.012,Top,270
J12,-54.0,-80.518,Top,0
J13,56.515,65.989,Top,90
J14,-50.8,50.902,Top,90
J15,7.417,53.492,Top,90
J16,-50.8,-2.108,Top,90
J17,7.442,0.508,Top,90
J18,12.725,0.508,Top,270
J19,-50.8,-55.093,Top,90
J20,7.62,-52.451,Top,90
J21,19.837,50.902,Bottom,90
J22,-39.776,53.492,Bottom,90
J23,18.39,-2.159,Bottom,90
J24,-39.726,0.508,Bottom,90
J25,19.99,-55.143,Bottom,90
J26,-39.573,-52.502,Bottom,90
J27,-50.8,36.906,Top,270
J28,12.675,53.442,Top,270
J29,-50.8,-16.053,Top,270
J30,-50.8,-69.088,Top,270
J31,12.929,-52.451,Top,270
J32,18.39,-16.053,Bottom,270
J33,-45.085,53.492,Bottom,270
J34,18.44,-69.063,Bottom,270
J35,-45.085,0.508,Bottom,270
J36,18.39,36.906,Bottom,270
J37,-45.085,-52.502,Bottom,270
J38,-54.534,-35.001,Top,270
J39,-53.01,71.526,Top,180
J40,-53.01,-91.516,Top,0
J41,55.982,-82.753,Top,90
J42,26.568,-85.42,Top,0
J43,57.023,-64.237,Top,90
J44,53.899,30.023,Top,270
J47,53.873,-27.991,Top,90
J48,36.119,29.997,Top,270
J49,36.144,-27.965,Top,90
Q1,25.857,-59.715,Top,0
Q2,26.289,-72.542,Top,0
Q3,24.587,-8.458,Top,0
Q4,24.13,-2.54,Top,0
Q5,24.867,44.069,Top,0
Q6,24.74,31.623,Top,0
Q7,25.857,-66.065,Top,0
Q8,26.365,-54.534,Top,0
Q9,24.587,-14.808,Top,0
Q10,25.197,-21.539,Top,0
Q11,24.867,37.719,Top,0
Q12,25.044,49.479,Top,0
R1,30.404,-59.715,Top,180
R2,30.988,-72.492,Top,180
R3,29.134,-8.458,Top,180
R4,28.321,-1.981,Top,180
R5,28.397,44.069,Top,180
R6,28.499,31.598,Top,180
R7,24.587,-62.255,Top,0
R8,25.019,-74.981,Top,0
R9,23.317,-10.998,Top,0
R10,22.86,-4.978,Top,0
R11,23.597,41.529,Top,0
R12,23.698,29.007,Top,0
R13,30.404,-66.065,Top,0
R14,29.997,-54.508,Top,180
R15,29.134,-14.808,Top,180
R16,29.007,-21.488,Top,180
R17,28.397,37.719,Top,180
R18,28.245,49.022,Top,180
R19,24.587,-68.605,Top,0
R20,25.121,-56.998,Top,0
R21,23.317,-17.348,Top,0
R22,23.749,-24.435,Top,0
R23,23.597,35.179,Top,0
R24,23.8,47.498,Top,0
R25,46.99,10.008,Top,0
R26,40.996,-7.01,Top,180
R27,46.99,13.005,Top,0
R28,40.996,-10.008,Top,180
R29,46.99,16.002,Top,0
R30,40.996,-13.005,Top,180
R31,46.99,18.999,Top,0
R32,40.996,-16.002,Top,180
